word,pos,example_sentence,collocations,root_analysis,synonyms,category,topic,card_type,zh_hint,notes
resource,n.,The region's water resources are already under strain.,natural resources; limited resources; allocate resources,"re-(再) + source(湧出, 拉丁 surgere, 同 surge) → 能再湧出來的東西",supply; asset; reserve; means,AWL,Sublist 2,passive,資源,
restrict,v.,The city restricts lorry access during the day.,restrict access; severely restricted; restrict the use of,"re-(往回) + strict(拉緊, 同 strict/constraint/strain) → 往回拉緊 → 限制",limit; curb; confine; cap,AWL,Sublist 2,passive,限制,
secure,adj.,Few graduates now expect a secure job for life.,a secure job; feel secure; secure storage,"se-(離開) + cur(擔心, 拉丁 cura, 同 cure/curious/accurate) → 不用擔心的",safe; protected; stable; assured,AWL,Sublist 2,passive,安全的、穩固的,
seek,v.,Patients now seek information online before visiting a doctor.,seek advice; seek to improve; widely sought,古英語 secan「尋找」→ 主動去找,look for; pursue; try to obtain; request,AWL,Sublist 2,passive,尋求,不規則變化 seek → sought → sought
select,v.,Judges selected twelve finalists from four hundred entries.,select candidates; carefully selected; select from,"se-(分開) + lect(挑, 同 collect/elect/lecture) → 從一堆裡挑出來",choose; pick; opt for; single out,AWL,Sublist 2,passive,挑選,
site,n.,The site of the old factory is now a public park.,a building site; on site; the site of,拉丁 situs「位置」(同 situate/situation) → 東西所在的位置,location; place; spot; position,AWL,Sublist 2,passive,地點、場址,
strategy,n.,The company's strategy is to sell fewer products at higher prices.,a long-term strategy; adopt a strategy; a marketing strategy,"strat(軍隊, 希臘 stratos) + ag(帶領, 同 agent/act) → 帶兵打仗的方法",plan; approach; policy; tactics,AWL,Sublist 2,passive,策略,
survey,n.,A survey of two thousand commuters found the same complaint.,conduct a survey; a national survey; survey results,"sur-(在上面) + vey(看, 同 view/vision/purvey) → 從上面整個看過一遍",poll; study; questionnaire; review,AWL,Sublist 2,passive,調查,
text,n.,The full text of the report is available online.,a written text; the full text; textual analysis,"text(編織, 同 textile/texture/context) → 把字織成的東西",writing; wording; document; content,AWL,Sublist 2,passive,文本,
tradition,n.,The festival is a tradition that goes back four centuries.,a long tradition; break with tradition; by tradition,"tra-(越過) + dit(給, 同 date/betray/edit) + -ion → 一代交給一代",custom; convention; practice; heritage,AWL,Sublist 2,passive,傳統,
transfer,v.,Patients are transferred to the main hospital for surgery.,transfer funds; be transferred to; transfer skills,"trans-(越過) + fer(帶, 同 refer/offer/ferry) → 帶到另一邊去",move; shift; hand over; relocate,AWL,Sublist 2,passive,轉移,
alternative,adj./n.,Solar power is now a realistic alternative to coal in many countries.,a viable alternative; an alternative to; alternative energy,"alter(另一個, 同 alter/alternate/altruism) + -ative → 另一個可選的",option; substitute; choice; replacement,AWL,Sublist 3,passive,替代方案、另一種選擇,寫作講「另一個做法」用 an alternative to X，介系詞是 to 不是 for
circumstance,n.,Under these circumstances the government had little choice but to act.,under the circumstances; in exceptional circumstances; economic circumstances,"circum-(繞圈, 同 circle/circuit) + stance(站立, 同 stand) → 站在四周的條件",situation; condition; context; factor,AWL,Sublist 3,passive,情況、情勢,
comment,n./v.,Several readers left critical comments on the newspaper's website.,make a comment; comment on; no comment,"com-(一起) + ment(心思, 同 mental/mention) → 把想法說出來",remark; observation; opinion; note,AWL,Sublist 3,passive,評論、意見,
component,n.,Regular exercise is a key component of any effective health programme.,a key component; a major component; component parts,"com-(一起) + pon(放置, 同 compose/postpone) → 一起放進來的部分",element; part; ingredient; constituent,AWL,Sublist 3,passive,組成部分、要素,
consent,n./v.,Hospitals must obtain written consent before any operation.,give consent; informed consent; without consent,"con-(一起) + sent(感覺, 同 sense/sentiment) → 感覺一致 → 同意",agreement; permission; approval; authorisation,AWL,Sublist 3,passive,同意、許可,
considerable,adj.,Building the new metro line required a considerable amount of public money.,a considerable amount; considerable evidence; considerable impact,consider(考慮) + -able → 大到值得考慮 → 相當大的,substantial; significant; sizeable; extensive,AWL,Sublist 3,passive,相當大的、可觀的,比 big 正式，Task 2 講「相當大的影響」很好用
constrain,v.,Limited funding constrains what small schools can offer their students.,severely constrain; constrain growth; be constrained by,"con-(一起) + strain(拉緊, 同 strict/restrain) → 綁緊 → 限制",restrict; limit; hamper; curb,AWL,Sublist 3,passive,限制、約束,
contribute,v.,Private cars contribute significantly to air pollution in large cities.,contribute to; contribute significantly; contribute towards,"con-(一起) + tribute(給予, 同 tribute/distribute) → 一起拿出來",add to; donate; play a part in; help,AWL,Sublist 3,passive,貢獻、促成,contribute to 後面接名詞或 V-ing，不接原形動詞
convene,v.,The committee convened an emergency meeting after the flooding.,convene a meeting; convene a conference; convene annually,"con-(一起) + ven(來, 同 venue/convenient/event) → 讓大家來到一起",assemble; gather; call together; summon,AWL,Sublist 3,passive,召集、集會,
coordinate,v.,The charity coordinates relief efforts across five provinces.,coordinate efforts; closely coordinate; coordinate with,"co-(共同) + ordin(次序, 同 order/ordinary) → 讓各部分排在同一個秩序裡",organise; harmonise; synchronise; manage,AWL,Sublist 3,passive,協調、統籌,
core,n./adj.,Reading and writing remain the core skills of the curriculum.,core skills; at the core of; core business,拉丁 cor「心」(同 courage/cordial) → 最中心的部分,centre; heart; essence; nucleus,AWL,Sublist 3,passive,核心,
corporate,adj.,Many firms now publish an annual report on their corporate responsibility.,corporate responsibility; corporate culture; corporate image,"corpor(身體, 同 corpse/corporation) + -ate → 像一個身體般的整體 → 公司的",business; commercial; collective; organisational,AWL,Sublist 3,passive,企業的、法人的,
correspond,v.,The rise in obesity corresponds closely to the growth of fast-food outlets.,correspond to; correspond closely; correspond with,cor-(一起) + respond(回應) → 互相對得上,match; agree; tally; align,AWL,Sublist 3,passive,相符、對應,Task 1 描述兩條線走勢一致時很好用
criteria,n.,Applicants are judged against four published criteria.,meet the criteria; strict criteria; selection criteria,希臘 krites「判斷者」(同 critic/critical) → 判斷的標準；單數是 criterion,standards; benchmarks; requirements; measures,AWL,Sublist 3,passive,標準（複數）,criteria 是複數，單數 criterion —— 寫 a criteria 是常見扣分點
deduce,v.,From the fossil record we can deduce that the climate was once far wetter.,deduce from; reasonably deduce; deduce a conclusion,"de-(向下) + duce(引導, 同 conduct/reduce/introduce) → 從已知推導下來",infer; conclude; work out; reason,AWL,Sublist 3,passive,推論、演繹,
demonstrate,v.,The study demonstrates a clear link between sleep and academic performance.,demonstrate clearly; demonstrate that; demonstrate the need for,"de-(徹底) + monstr(顯示, 同 monster/monitor) → 完整攤開來給人看",show; prove; illustrate; establish,AWL,Sublist 3,passive,證明、展示,
document,n./v.,Researchers documented every change in the river over ten years.,an official document; document the process; well documented,"doc(教導, 同 doctor/doctrine) + -ment → 用來教人／作為證明的東西",record; paper; file; chronicle,AWL,Sublist 3,passive,文件；記錄,
dominate,v.,A handful of technology firms dominate the global advertising market.,dominate the market; completely dominate; dominated by,"domin(主人, 同 dominion/domestic) + -ate → 當主人 → 支配",control; rule; lead; overshadow,AWL,Sublist 3,passive,支配、主導,
emphasis,n.,Finnish schools place great emphasis on play in the early years.,place emphasis on; put emphasis on; with particular emphasis,"em-(在裡面) + phas(顯現, 同 phase/phenomenon) → 讓某點浮出來 → 強調",stress; focus; importance; priority,AWL,Sublist 3,passive,強調、重點,動詞是 emphasise；名詞複數 emphases
ensure,v.,Free school meals help ensure that every child eats at least one hot meal.,ensure that; help ensure; ensure access to,en-(使) + sure(確定) → 使某事確定發生,guarantee; make certain; secure; safeguard,AWL,Sublist 3,passive,確保,別跟 insure（投保）與 assure（向某人保證）搞混
exclude,v.,The survey excluded anyone under the age of eighteen.,exclude from; socially excluded; exclude the possibility,"ex-(向外) + clud(關閉, 同 include/conclude/close) → 關在外面",leave out; omit; bar; rule out,AWL,Sublist 3,passive,排除、不包括,
framework,n.,The agreement provides a legal framework for reducing emissions.,a legal framework; a theoretical framework; within the framework of,frame(架構) + work → 撐起整件事的骨架,structure; system; basis; skeleton,AWL,Sublist 3,passive,架構、框架,
fund,n./v.,The scheme is funded entirely by local taxpayers.,public funds; fully funded; raise funds,拉丁 fundus「底部、土地」(同 foundation/fundamental) → 打底的錢,finance; capital; resources; back,AWL,Sublist 3,passive,資金；資助,
illustrate,v.,The chart illustrates how car ownership changed between 1990 and 2020.,illustrate the point; clearly illustrate; as the graph illustrates,"il-(進入) + lustr(光, 同 lustre/illuminate) → 照亮 → 說明",show; depict; demonstrate; exemplify,AWL,Sublist 3,passive,說明、圖示,Task 1 開頭改寫題目常用：The chart illustrates...
